work_year,experience_level,job_title,salary_in_usd,remote_ratio,company_location,company_size
2022,2,4,158200,100,2,2
2022,2,2,209100,100,2,2
2022,2,2,154600,100,2,2
2022,2,0,115934,0,2,1
2022,2,0,81666,0,2,1
2022,2,2,175000,100,2,1
2022,1,2,98158,0,2,1
2022,1,0,58000,0,2,0
2022,2,2,183600,100,2,2
2022,1,0,52351,100,2,1
2022,2,4,180000,100,2,1
2022,1,4,71982,0,2,1
2022,1,4,45807,0,2,1
2022,1,2,65949,100,1,1
2022,1,2,49461,100,1,1
2022,1,2,78526,100,2,1
2022,1,2,58894,100,2,1
2022,2,4,260000,100,2,1
2022,2,6,60000,100,1,2
2022,1,2,63900,0,2,1
2022,1,6,160000,100,2,2
2022,1,6,112300,100,2,2
2022,1,3,241000,100,2,1
2022,1,3,159000,100,2,1
2022,2,4,180000,0,2,1
2022,2,4,80000,0,2,1
2022,1,2,82900,0,2,1
2022,2,2,100800,100,2,2
2022,1,2,49461,100,1,1
2022,2,4,140400,0,2,2
2022,1,0,39263,100,2,1
2022,1,0,43966,100,1,1
2022,1,0,32974,100,1,1
2022,1,2,87932,100,1,1
2022,1,2,76940,100,1,1
2022,1,2,104702,100,2,1
2022,1,2,91614,100,2,1
2022,1,2,65949,100,1,1
2022,1,2,87932,100,1,1
2022,2,5,189650,0,2,1
2022,2,5,164996,0,2,1
2022,1,0,43966,100,1,1
2022,1,0,32974,100,1,1
2022,1,2,98158,100,2,1
2022,1,2,78526,100,2,1
2022,2,4,215300,0,2,2
2022,1,2,76940,100,1,1
2022,2,2,209100,100,2,2
2022,2,2,154600,100,2,2
2022,2,2,180000,100,2,1
2022,0,6,21983,100,1,2
2022,2,2,80000,100,2,1
2022,1,6,78791,100,2,1
2022,3,6,196979,50,2,2
2022,1,5,120000,100,2,0
2022,0,6,125000,0,2,1
2022,1,6,37236,50,2,2
2022,2,2,105000,100,2,1
2022,2,6,87932,0,2,1
2022,1,6,18442,100,1,1
2022,1,4,31615,100,1,2
2022,1,6,58255,50,1,2
